Contact Developer,Verfified by developer,Investment (USD Million),Developersorted ascending,Developersorted ascendingDeveloper Category,Planned COD,Unnamed: 1,Developer Category,Project Status,State,Project Name,source
Contact,--,2.96,Aliza CBG and Bio Energy Company,Aliza CBG and Bio Energy CompanyPrivate,--,,Private,Permitting,Uttar Pradesh,Aliza CBG and Bio Energy Company,biogas
Contact,--,0.01,Aman Priyanshu Telecom,Aman Priyanshu TelecomPrivate,--,,Private,Permitting,Bihar,Bamboo mango,biogas
Contact,--,5.93,Amritsar Bio Gas Pvt. ltd.,Amritsar Bio Gas Pvt. ltd.Private,--,,Private,Permitting,Punjab,AMRISTAR COMPRESSED BIO GAS PROJECT,biogas
Contact,--,1.78,Anaadi Green Private Limited,Anaadi Green Private LimitedPrivate,--,,Private,Under Construction,Madhya Pradesh,Anaadi Green,biogas
Contact,--,1.19,Anjaniputra Biotech Private Limited,Anjaniputra Biotech Private LimitedPrivate,--,,Private,Permitting,Rajasthan,Anjaniputra Biotech Private Limited,biogas
Contact,--,3.56,Anvik Innovbiz Private Limited,Anvik Innovbiz Private LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,Anvik 1,biogas
Contact,--,1.42,Apostolic Redeem Services Private Limited,Apostolic Redeem Services Private LimitedPrivate,--,,Private,Permitting,Bihar,APOSTOLIC REDEEM SERVICES PRIVATE LIMITED,biogas
Contact,--,1.78,Arnavi Agrofin & Infra Services,Arnavi Agrofin & Infra ServicesPrivate,--,,Private,Permitting,Madhya Pradesh,Arnavi Natural Energy & Fertilizer,biogas
Contact,--,1.19,Ashadeep Financial Services Private Limited,Ashadeep Financial Services Private LimitedPrivate,--,,Private,Under Construction,West Bengal,Green Octane,biogas
Contact,--,3.56,B K Investment Services Private Limited,B K Investment Services Private LimitedPrivate,--,,Private,Under Construction,Uttar Pradesh,Compressed Biogas Plant,biogas
Contact,--,3.56,B K Investment Services Pvt Ltd,B K Investment Services Pvt LtdPrivate,--,,Private,Under Construction,Uttar Pradesh,Compressed Biogas Project,biogas
Contact,--,0.59,BARASATGREENENERGY PRIVATE LIMITED,BARASATGREENENERGY PRIVATE LIMITEDPrivate,--,,Private,Permitting,Andhra Pradesh,Barasat CBG Plant,biogas
Contact,--,1.19,BHARAT BIOFUELS,BHARAT BIOFUELSPrivate,--,,Private,Permitting,Uttar Pradesh,BHARAT BIOFUELS,biogas
